edge,horizon_h,n_signals,hit_ratio,avg_ret_active,avg_ret_baseline,corr,lift,note
edge_funding_reversion,4,64,0.3594,0.005441,0.007711,0.0147,0.706,ok
edge_carry_momentum,4,91,0.5714,0.001056,-0.000153,0.0104,-6.89,ok
edge_carry_stress,4,304,0.4009,0.000368,0.000153,-0.0086,2.403,ok
edge_mark_dislocation,4,0,,,,,,insufficient_signals
edge_options_vol_premium,4,380,0.3158,0.005763,0.007711,-0.0804,0.747,ok
edge_skew_panic,4,2156,0.4907,-0.000115,-0.000115,,1.0,ok
edge_term_structure_kink,4,0,,,,,,insufficient_signals
edge_funding_reversion,24,64,0.2812,0.013247,0.020777,0.0245,0.638,ok
edge_carry_momentum,24,91,0.1538,-0.008395,-7.5e-05,-0.0283,111.385,ok
edge_carry_stress,24,293,0.4459,-0.00117,7.5e-05,-0.003,-15.523,ok
edge_mark_dislocation,24,0,,,,,,insufficient_signals
edge_options_vol_premium,24,380,0.4763,0.019644,0.020777,-0.1098,0.945,ok
edge_skew_panic,24,2136,0.4719,-0.000612,-0.000612,,1.0,ok
edge_term_structure_kink,24,0,,,,,,insufficient_signals
