instrument_name,expiry_ts,strike,option_type,bid_price,ask_price,mark_price,mark_iv,open_interest,volume_usd,index_price,dte_days,premium,otm_pct,annualized_yield,prob_itm,prob_otm,dte_distance,score_yield,score_pop,score_otm,score_liq,score_dte_fit,sell_score
BTC-29MAY26-67000-P,1780041600,67000.0,put,0.005,0.0055,0.00528816,44.35,748.1,89057.95,78346.18,27.493206018518517,0.005,0.1448211004033636,0.06638003580850993,0.11039522955285297,0.889604770447147,2.506793981481483,0.2727272727272727,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.5,0.5863636363636364
BTC-29MAY26-56000-P,1780041600,56000.0,put,0.0008,0.001,0.00090457,58.57,865.8,19112.17,78346.36,27.493206018518517,0.0008,0.2852252484991007,0.01062080572936159,0.022292191523275384,0.9777078084767246,2.506793981481483,0.09090909090909091,1.0,1.0,0.45454545454545453,0.5,0.5772727272727273
BTC-29MAY26-70000-P,1780041600,70000.0,put,0.009,0.0095,0.00919927,41.56,3309.7,70158.3,78346.18,27.493206018518517,0.009,0.1065295078841112,0.11948406445531787,0.17605162944778718,0.8239483705522128,2.506793981481483,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.8181818181818182,0.5,0.5681818181818181
BTC-29MAY26-68000-P,1780041600,68000.0,put,0.006,0.007,0.00635083,43.37,744.8,59964.38,78346.36,27.493206018518517,0.006,0.1320592303203365,0.07965604297021192,0.12916008681354485,0.8708399131864552,2.506793981481483,0.36363636363636365,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.5,0.5590909090909091
BTC-29MAY26-66000-P,1780041600,66000.0,put,0.0041,0.0046,0.00435168,45.23,837.6,18891.57,78346.36,27.493206018518517,0.0041,0.1575869000167972,0.05443162936297815,0.09352191416275979,0.9064780858372402,2.506793981481483,0.18181818181818182,0.9090909090909091,0.9090909090909091,0.36363636363636365,0.5,0.5590909090909091
BTC-29MAY26-74000-P,1780041600,74000.0,put,0.019,0.02,0.01957545,39.04,2106.9,364220.93,78346.36,27.493206018518517,0.019,0.055476221230954414,0.25224413607233775,0.31593168831720764,0.6840683116827924,2.506793981481483,0.9090909090909091,0.18181818181818182,0.18181818181818182,1.0,0.5,0.55
BTC-29MAY26-72000-P,1780041600,72000.0,put,0.013,0.014,0.0135801,40.3,1316.0,36503.6,78346.36,27.493206018518517,0.013,0.08100389092741511,0.17258809310212583,0.23933498717364288,0.7606650128263571,2.506793981481483,0.7272727272727273,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.5,0.5454545454545454
BTC-29MAY26-75000-P,1780041600,75000.0,put,0.023,0.024,0.02333771,38.47,1163.7,232702.01,78346.18,27.493206018518517,0.023,0.04271018701869056,0.30534816471914566,0.3591899936181071,0.6408100063818929,2.506793981481483,1.0,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.5,0.5318181818181819
BTC-29MAY26-69000-P,1780041600,69000.0,put,0.007,0.008,0.00755259,42.28,710.0,17403.86,78346.36,27.493206018518517,0.007,0.11929539547210621,0.09293205013191391,0.14993042950212715,0.8500695704978729,2.506793981481483,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.5,0.5227272727272727
BTC-29MAY26-73000-P,1780041600,73000.0,put,0.016,0.0165,0.01626452,39.57,529.6,21876.23,78346.36,27.493206018518517,0.016,0.06824005607918482,0.21241611458723178,0.2754121712111589,0.7245878287888411,2.506793981481483,0.8181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.5,0.47727272727272724
BTC-22MAY26-72000-P,1779436800,72000.0,put,0.009,0.01,0.00948948,40.29,60.6,56187.33,78327.61499999999,20.493206018518517,0.009,0.08078396105894448,0.16029702707480403,0.20197190056039366,0.7980280994396063,9.506793981481483,0.6363636363636364,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.0,0.42272727272727273
