sl_pct,rr,n_trades,win_rate,return_pct,profit_factor,max_dd,sharpe,avg_win,avg_loss,n_tp,n_sl,n_eod
0.003,1.5,28,57.1,0.04,1.012,-1.53,0.022,0.289,-0.381,,,
0.003,2.0,24,58.3,0.73,1.215,-1.17,0.297,0.299,-0.345,,,
0.003,2.5,30,40.0,-1.48,0.778,-3.26,-0.438,0.426,-0.365,,,
0.003,3.0,30,40.0,-0.54,0.923,-2.97,-0.136,0.505,-0.365,,,
0.004,1.5,34,50.0,0.4,1.071,-2.03,0.111,0.392,-0.366,,,
0.004,2.0,29,44.8,0.34,1.062,-2.97,0.089,0.516,-0.395,,,
0.004,2.5,38,44.7,0.9,1.111,-2.16,0.188,0.573,-0.418,,,
0.004,3.0,36,47.2,2.11,1.271,-1.56,0.443,0.595,-0.419,,,
0.005,1.5,40,52.5,-0.37,0.97,-2.31,-0.058,0.453,-0.517,,,
0.005,2.0,46,47.8,1.21,1.116,-2.89,0.22,0.567,-0.466,,,
0.005,2.5,42,50.0,2.97,1.305,-2.54,0.527,0.614,-0.471,,,
0.005,3.0,44,54.5,6.76,1.686,-3.12,1.013,0.682,-0.485,,,
0.006,1.5,41,51.2,1.94,1.201,-2.94,0.334,0.575,-0.503,,,
0.006,2.0,51,51.0,4.59,1.397,-3.3,0.698,0.623,-0.464,,,
0.006,2.5,48,56.2,8.91,1.844,-2.06,1.197,0.702,-0.489,,,
0.006,3.0,38,57.9,5.36,1.598,-1.91,0.786,0.65,-0.559,,,
0.008,1.5,41,53.7,1.59,1.156,-2.58,0.271,0.566,-0.567,,,
0.008,2.0,48,56.2,6.22,1.475,-3.55,0.798,0.714,-0.622,,,
0.008,2.5,40,55.0,0.71,1.07,-3.07,0.124,0.581,-0.664,,,
0.008,3.0,38,52.6,-1.52,0.881,-3.07,-0.228,0.527,-0.664,,,
0.01,1.5,43,53.5,0.61,1.057,-7.02,0.107,0.595,-0.648,,,
0.01,2.0,38,52.6,-3.23,0.756,-5.85,-0.486,0.489,-0.719,,,
0.01,2.5,33,48.5,-5.63,0.549,-6.06,-0.975,0.433,-0.743,,,
0.01,3.0,33,48.5,-5.63,0.549,-6.06,-0.975,0.433,-0.743,,,
