date,macro,direction,entry_px,exit_px,tp_px,sl_px,n_candles,exit_reason,pnl_pct,london_ctx,pool_ctx,sweep_ctx
2025-02-09,11:50,LONG,96427.1,95964.15,97410.85,95964.15,44,SL,-0.59,NO_RAID,NEUTRAL,SW_H
2025-03-04,11:50,LONG,83049.9,83897.18,83897.18,82651.18,26,TP,0.91,NO_RAID,NEUTRAL,SW_H
2025-07-26,11:50,LONG,117966.4,118209.0,119169.89,117400.04,250,EOD,0.0956,NO_RAID,NEUTRAL,SW_H
2025-08-19,09:50,SHORT,114932.6,113760.52,113760.52,115484.16,55,TP,0.91,RAID_H,NEUTRAL,SW_L
2025-11-30,11:50,SHORT,91789.1,91272.7,90853.03,92229.6,250,EOD,0.4527,NO_RAID,NEUTRAL,SW_H
2025-12-04,11:50,SHORT,92468.8,91525.8,91525.8,92912.56,143,TP,0.91,NO_RAID,NEUTRAL,SW_L
2025-12-06,11:50,SHORT,89697.1,89509.5,88782.37,90127.56,250,EOD,0.0992,NO_RAID,NEUTRAL,SW_L
2025-12-18,11:50,SHORT,88051.7,87153.75,87153.75,88474.26,17,TP,0.91,NO_RAID,NEUTRAL,SW_L
2025-12-19,11:50,SHORT,88259.4,87359.33,87359.33,88682.96,41,TP,0.91,NO_RAID,NEUTRAL,SW_L
2025-12-25,11:50,SHORT,88161.7,87844.7,87262.63,88584.79,250,EOD,0.2496,NO_RAID,NEUTRAL,SW_L
2025-12-30,09:50,LONG,88296.4,89197.2,89197.2,87872.49,89,TP,0.91,NO_RAID,NEUTRAL,SW_H
2025-12-30,11:50,SHORT,88627.8,87900.3,87723.97,89053.12,250,EOD,0.711,NO_RAID,NEUTRAL,SW_L
2026-01-23,11:50,LONG,90390.7,89956.73,91312.87,89956.73,12,SL,-0.59,NO_RAID,NEUTRAL,SW_H
