regime,ema_state,ema_slope,swing,rsi_state,stoch_state,atr_state,vwap_state,direction,params,n_IS,wins,wr_IS,exp_R_IS,n_OOS,wr_OOS,exp_R_OOS
bull,-1,-1,-1,oversold,weak,expansion,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR7,20,19,0.95,1.85,2.0,1.0,2.0
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR7,20,18,0.9,1.7,2.0,0.5,0.5
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK5SS3SD3_ATR7,38,34,0.8947,1.6842,8.0,0.625,0.875
bull,-1,-1,-1,oversold,weak,expansion,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR7,24,21,0.875,1.625,4.0,0.75,1.25
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK21SS5SD5_ATR7,23,20,0.8696,1.6087,7.0,0.5714,0.7143
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI7_SK21SS5SD5_ATR21,30,26,0.8667,1.6,5.0,0.4,0.2
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI7_SK5SS3SD3_ATR7,36,31,0.8611,1.5833,6.0,0.6667,1.0
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK5SS3SD3_ATR7,36,31,0.8611,1.5833,6.0,0.6667,1.0
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI14_SK5SS3SD3_ATR7,21,18,0.8571,1.5714,5.0,0.8,1.4
bull,-1,-1,-1,oversold,weak,expansion,-1,SHORT,EMA21_RSI7_SK21SS5SD5_ATR7,21,18,0.8571,1.5714,1.0,0.0,-1.0
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA21_RSI7_SK14SS3SD3_ATR7,28,24,0.8571,1.5714,10.0,0.4,0.2
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR21,35,30,0.8571,1.5714,7.0,0.5714,0.7143
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI7_SK21SS5SD5_ATR14,27,23,0.8519,1.5556,4.0,0.5,0.5
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR21,27,23,0.8519,1.5556,7.0,0.5714,0.7143
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR7,20,17,0.85,1.55,2.0,0.5,0.5
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA21_RSI14_SK5SS3SD3_ATR21,20,17,0.85,1.55,1.0,0.0,-1.0
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA200_RSI14_SK14SS3SD3_ATR7,20,17,0.85,1.55,3.0,0.6667,1.0
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR7,20,17,0.85,1.55,3.0,0.6667,1.0
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA100_RSI7_SK14SS3SD3_ATR7,26,22,0.8462,1.5385,10.0,0.4,0.2
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR21,32,27,0.8438,1.5312,5.0,0.4,0.2
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI7_SK5SS3SD3_ATR7,38,32,0.8421,1.5263,7.0,0.7143,1.1429
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA50_RSI7_SK14SS3SD3_ATR7,25,21,0.84,1.52,10.0,0.4,0.2
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA50_RSI21_SK21SS5SD5_ATR21,25,21,0.84,1.52,14.0,0.4286,0.2857
bull,-1,-1,-1,oversold,weak,expansion,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR7,25,21,0.84,1.52,3.0,0.6667,1.0
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA50_RSI21_SK21SS5SD5_ATR14,25,21,0.84,1.52,13.0,0.4615,0.3846
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR21,31,26,0.8387,1.5161,5.0,0.4,0.2
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR21,55,46,0.8364,1.5091,7.0,0.7143,1.1429
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK21SS5SD5_ATR14,30,25,0.8333,1.5,10.0,0.7,1.1
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR14,30,25,0.8333,1.5,7.0,0.5714,0.7143
