regime,ema_state,ema_slope,swing,rsi_state,stoch_state,atr_state,vwap_state,direction,params,n,wins,wr,exp_R
bull,-1,-1,-1,oversold,weak,expansion,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR7,20,19,0.95,1.85
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR7,20,18,0.9,1.7
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK5SS3SD3_ATR7,38,34,0.8947,1.6842
bull,-1,-1,-1,oversold,weak,expansion,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR7,24,21,0.875,1.625
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK21SS5SD5_ATR7,23,20,0.8696,1.6087
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI7_SK21SS5SD5_ATR21,30,26,0.8667,1.6
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI7_SK5SS3SD3_ATR7,36,31,0.8611,1.5833
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK5SS3SD3_ATR7,36,31,0.8611,1.5833
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI14_SK5SS3SD3_ATR7,21,18,0.8571,1.5714
bull,-1,-1,-1,oversold,weak,expansion,-1,SHORT,EMA21_RSI7_SK21SS5SD5_ATR7,21,18,0.8571,1.5714
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA21_RSI7_SK14SS3SD3_ATR7,28,24,0.8571,1.5714
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR21,35,30,0.8571,1.5714
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI7_SK21SS5SD5_ATR14,27,23,0.8519,1.5556
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR21,27,23,0.8519,1.5556
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR7,20,17,0.85,1.55
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA21_RSI14_SK5SS3SD3_ATR21,20,17,0.85,1.55
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA200_RSI14_SK14SS3SD3_ATR7,20,17,0.85,1.55
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR7,20,17,0.85,1.55
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA100_RSI7_SK14SS3SD3_ATR7,26,22,0.8462,1.5385
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR21,32,27,0.8438,1.5312
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI7_SK5SS3SD3_ATR7,38,32,0.8421,1.5263
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA50_RSI7_SK14SS3SD3_ATR7,25,21,0.84,1.52
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA50_RSI21_SK21SS5SD5_ATR21,25,21,0.84,1.52
bull,-1,-1,-1,oversold,weak,expansion,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR7,25,21,0.84,1.52
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA50_RSI21_SK21SS5SD5_ATR14,25,21,0.84,1.52
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR21,31,26,0.8387,1.5161
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR21,55,46,0.8364,1.5091
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK21SS5SD5_ATR14,30,25,0.8333,1.5
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR14,30,25,0.8333,1.5
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI14_SK21SS5SD5_ATR21,66,55,0.8333,1.5
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR14,29,24,0.8276,1.4828
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR14,52,43,0.8269,1.4808
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR14,23,19,0.8261,1.4783
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI14_SK21SS5SD5_ATR14,63,52,0.8254,1.4762
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR14,34,28,0.8235,1.4706
bull,-1,-1,0,oversold,weak,expansion,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR7,34,28,0.8235,1.4706
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR14,28,23,0.8214,1.4643
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI14_SK21SS5SD5_ATR7,28,23,0.8214,1.4643
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK21SS5SD5_ATR21,33,27,0.8182,1.4545
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR7,22,18,0.8182,1.4545
bull,-1,-1,0,oversold,weak,expansion,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR7,22,18,0.8182,1.4545
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR14,55,45,0.8182,1.4545
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK5SS3SD3_ATR14,49,40,0.8163,1.449
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR21,59,48,0.8136,1.4407
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR21,32,26,0.8125,1.4375
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA50_RSI21_SK21SS5SD5_ATR7,21,17,0.8095,1.4286
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA100_RSI14_SK21SS5SD5_ATR14,21,17,0.8095,1.4286
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR21,21,17,0.8095,1.4286
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR21,42,34,0.8095,1.4286
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI14_SK5SS3SD3_ATR14,26,21,0.8077,1.4231
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA21_RSI7_SK14SS3SD3_ATR14,31,25,0.8065,1.4194
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK5SS3SD3_ATR21,56,45,0.8036,1.4107
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR7,25,20,0.8,1.4
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA200_RSI7_SK14SS3SD3_ATR7,25,20,0.8,1.4
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA21_RSI21_SK21SS5SD5_ATR21,30,24,0.8,1.4
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA21_RSI21_SK21SS5SD5_ATR14,30,24,0.8,1.4
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI14_SK5SS3SD3_ATR14,25,20,0.8,1.4
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR7,45,36,0.8,1.4
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI14_SK21SS5SD5_ATR7,55,44,0.8,1.4
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA50_RSI14_SK14SS3SD3_ATR7,20,16,0.8,1.4
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR14,69,55,0.7971,1.3913
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR21,73,58,0.7945,1.3836
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR14,68,54,0.7941,1.3824
